SAAM Person,URI in SAAM,URI in DBPedia,URI found by karma,matched, ,No.1,No.2,No.3,No.4,No.5 ,,,
http://americanart.si.edu/saam/Person_6379,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_6379,http://dbpedia.org/resource/Abraham_Cooper,http://dbpedia.org/resource/Abraham_Cooper,0.9974418, same," [0.99744180]	(1.00000000|0.99805904== 1868 | 1868) 	(1.00000000|0.99938227== 1787 | 1787) 	(1.00000000|0.99999930== Abraham Cooper | Abraham Cooper) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.87719297|0.99997610== Abraham Cooper | Abraham) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.87719297|0.99997610== Abraham Cooper | Abraham) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.86000001|0.99997610== Abraham Cooper | Abraham Conat) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.87719297|0.99997610== Abraham Cooper | Abraham) ",,,
http://americanart.si.edu/saam/Person_1550,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_1550,http://dbpedia.org/resource/Alvan_Fisher,http://dbpedia.org/resource/Alvan_Fisher,0.99739273, same," [0.99739273]	(1.00000000|0.99809586== 1863 | 1863) 	(1.00000000|0.99929624== 1792 | 1792) 	(1.00000000|0.99999930== Alvan Fisher | Alvan Fisher) "," [0.00172304]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.92857146|0.99999280== Alvan Fisher | Alan Fisher) ",,,,,,
http://americanart.si.edu/saam/Person_18562,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_18562,http://dbpedia.org/resource/Anna_Claypoole_Peale,http://dbpedia.org/resource/Anna_Claypoole_Peale,0.99722316, same," [0.99722316]	(1.00000000|0.99783549== 1878 | 1878) 	(1.00000000|0.99938704== 1791 | 1791) 	(1.00000000|0.99999930== Anna Claypoole Peale | Anna Claypoole Peale) "," [0.00172304]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.94444442|0.99999280== William Duncan | Alexander William Duncan) ",,,,,,
http://americanart.si.edu/saam/Person_271,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_271,http://dbpedia.org/resource/Antoine-Louis_Barye,http://dbpedia.org/resource/Antoine-Louis_Barye,0.99706862, same," [0.99706862]	(1.00000000|0.99782760== 1875 | 1875) 	(1.00000000|0.99924008== 1796 | 1796) 	(1.00000000|0.99999930== Antoine-Louis Barye | Antoine-Louis Barye) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.86000001|0.99997610== Antoine Barye | Antoine Bangui) ",,,,,,
http://americanart.si.edu/saam/Person_1364,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_1364,http://dbpedia.org/resource/Asher_Brown_Durand,http://dbpedia.org/resource/Asher_Brown_Durand,0.99701869, same," [0.99701869]	(1.00000000|0.99777763== 1886 | 1886) 	(1.00000000|0.99924008== 1796 | 1796) 	(1.00000000|0.99999930== Asher Brown Durand | Asher Brown Durand) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.85263157|0.99997610== Asher B. Durand | Asher D) ",,,,,,
http://americanart.si.edu/saam/Person_3318,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_3318,http://dbpedia.org/resource/Alfred_Jacob_Miller,http://dbpedia.org/resource/Alfred_Jacob_Miller,0.99696839, same," [0.99696839]	(1.00000000|0.99807219== 1874 | 1874) 	(1.00000000|0.99889477== 1810 | 1810) 	(1.00000000|0.99999930== Alfred Jacob Miller | Alfred Jacob Miller) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.86021507|0.99997610== Alfred J. Miller | Alfred J. Robertson) "," [0.00172301]	(0.00000000|0.03772000== 1874 | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.86274511|0.99997610== Alfred Miller | Alfred) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.86419755|0.99997610== Alfred J. Miller | Alfred J. Stamp) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.87500000|0.99997610== Alfred Miller | Alfred Milnes) ",,,
http://americanart.si.edu/saam/Person_894,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_894,http://dbpedia.org/resource/Alvan_Clark,http://dbpedia.org/resource/Alvan_Clark,0.99663537, same," [0.99663537]	(1.00000000|0.99756459== 1887 | 1887) 	(1.00000000|0.99906922== 1804 | 1804) 	(1.00000000|0.99999930== Alvan Clark | Alvan Clark) "," [0.00172304]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.92647058|0.99999280== Alvan Clark | Al Clark) ",,,,,,
http://americanart.si.edu/saam/Person_6355,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_6355,http://dbpedia.org/resource/Albert_Fitch_Bellows,http://dbpedia.org/resource/Albert_Fitch_Bellows,0.99659233, same," [0.99659233]	(1.00000000|0.99775659== 1883 | 1883) 	(1.00000000|0.99883383== 1829 | 1829) 	(1.00000000|0.99999930== Albert Fitch Bellows | Albert Fitch Bellows) ",,,,,,,
http://americanart.si.edu/saam/Person_7222,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_7222,http://dbpedia.org/resource/Albert_Southworth,http://dbpedia.org/resource/Albert_Southworth,0.99648579, same," [0.99648579]	(1.00000000|0.99750673== 1894 | 1894) 	(1.00000000|0.99897721== 1811 | 1811) 	(1.00000000|0.99999930== Albert Southworth | Albert Southworth) ",,,,,,,
http://americanart.si.edu/saam/Person_6565,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_6565,http://dbpedia.org/resource/Adolphe_Yvon,http://dbpedia.org/resource/Adolphe_Yvon,0.99638955, same," [0.99638955]	(1.00000000|0.99753566== 1893 | 1893) 	(1.00000000|0.99885175== 1817 | 1817) 	(1.00000000|0.99999930== Adolphe Yvon | Adolphe Yvon) ",,,,,,,
